TXNAME	GENEID.group	GENEID.group_name	GENEID.value
mRNA:Solyc06g062880.2.1	19164	NA	gene:Solyc06g062880.2
mRNA:Solyc06g062883.1.1	19165	NA	gene:Solyc06g062883.1
mRNA:Solyc06g062890.3.1	19166	NA	gene:Solyc06g062890.3
mRNA:Solyc06g062887.1.1	19167	NA	gene:Solyc06g062887.1
mRNA:Solyc06g062900.3.1	19168	NA	gene:Solyc06g062900.3
mRNA:Solyc06g062905.1.1	19169	NA	gene:Solyc06g062905.1
mRNA:Solyc06g062910.2.1	19170	NA	gene:Solyc06g062910.2
mRNA:Solyc06g062920.3.1	19171	NA	gene:Solyc06g062920.3
mRNA:Solyc06g062930.1.1	19172	NA	gene:Solyc06g062930.1
mRNA:Solyc06g062940.3.1	19173	NA	gene:Solyc06g062940.3
mRNA:Solyc06g062950.1.1	19174	NA	gene:Solyc06g062950.1
mRNA:Solyc06g062960.2.1	19175	NA	gene:Solyc06g062960.2
mRNA:Solyc06g062970.2.1	19176	NA	gene:Solyc06g062970.2
mRNA:Solyc06g062980.3.1	19177	NA	gene:Solyc06g062980.3
mRNA:Solyc06g062990.2.1	19178	NA	gene:Solyc06g062990.2
mRNA:Solyc06g063000.3.1	19179	NA	gene:Solyc06g063000.3
mRNA:Solyc06g063010.3.1	19180	NA	gene:Solyc06g063010.3
mRNA:Solyc06g063015.1.1	19181	NA	gene:Solyc06g063015.1
mRNA:Solyc06g063020.3.1	19182	NA	gene:Solyc06g063020.3
mRNA:Solyc06g063030.3.1	19183	NA	gene:Solyc06g063030.3
mRNA:Solyc06g063040.1.1	19184	NA	gene:Solyc06g063040.1
mRNA:Solyc06g063050.3.1	19185	NA	gene:Solyc06g063050.3
mRNA:Solyc06g063060.3.1	19186	NA	gene:Solyc06g063060.3
mRNA:Solyc06g063070.3.1	19187	NA	gene:Solyc06g063070.3
mRNA:Solyc06g063080.1.1	19188	NA	gene:Solyc06g063080.1
mRNA:Solyc06g063085.1.1	19189	NA	gene:Solyc06g063085.1
mRNA:Solyc06g063090.3.1	19190	NA	gene:Solyc06g063090.3
mRNA:Solyc06g063100.3.1	19191	NA	gene:Solyc06g063100.3
mRNA:Solyc06g063110.2.1	19192	NA	gene:Solyc06g063110.2
mRNA:Solyc06g063120.3.1	19193	NA	gene:Solyc06g063120.3
mRNA:Solyc06g063130.3.1	19194	NA	gene:Solyc06g063130.3
mRNA:Solyc06g063140.3.1	19195	NA	gene:Solyc06g063140.3
mRNA:Solyc06g063150.3.1	19196	NA	gene:Solyc06g063150.3
mRNA:Solyc06g063160.1.1	19197	NA	gene:Solyc06g063160.1
mRNA:Solyc06g063170.3.1	19198	NA	gene:Solyc06g063170.3
mRNA:Solyc06g063180.2.1	19199	NA	gene:Solyc06g063180.2
mRNA:Solyc06g063190.3.1	19200	NA	gene:Solyc06g063190.3
mRNA:Solyc06g063200.2.1	19201	NA	gene:Solyc06g063200.2
mRNA:Solyc06g063210.3.1	19202	NA	gene:Solyc06g063210.3
mRNA:Solyc06g063220.3.1	19203	NA	gene:Solyc06g063220.3
mRNA:Solyc06g063230.3.1	19204	NA	gene:Solyc06g063230.3
mRNA:Solyc06g063240.3.1	19205	NA	gene:Solyc06g063240.3
mRNA:Solyc06g063250.3.1	19206	NA	gene:Solyc06g063250.3
mRNA:Solyc06g063260.3.1	19207	NA	gene:Solyc06g063260.3
mRNA:Solyc06g063270.3.1	19208	NA	gene:Solyc06g063270.3
mRNA:Solyc06g063280.1.1	19209	NA	gene:Solyc06g063280.1
mRNA:Solyc06g063290.3.1	19210	NA	gene:Solyc06g063290.3
mRNA:Solyc06g063295.1.1	19211	NA	gene:Solyc06g063295.1
mRNA:Solyc06g063300.3.1	19212	NA	gene:Solyc06g063300.3
mRNA:Solyc06g063305.1.1	19213	NA	gene:Solyc06g063305.1
mRNA:Solyc06g063310.2.1	19214	NA	gene:Solyc06g063310.2
mRNA:Solyc06g063320.3.1	19215	NA	gene:Solyc06g063320.3
mRNA:Solyc06g063330.3.1	19216	NA	gene:Solyc06g063330.3
mRNA:Solyc06g063340.3.1	19217	NA	gene:Solyc06g063340.3
mRNA:Solyc06g063345.1.1	19218	NA	gene:Solyc06g063345.1
mRNA:Solyc06g063350.1.1	19219	NA	gene:Solyc06g063350.1
mRNA:Solyc06g063360.4.1	19220	NA	gene:Solyc06g063360.4
mRNA:Solyc06g063365.1.1	19221	NA	gene:Solyc06g063365.1
mRNA:Solyc06g063370.3.1	19222	NA	gene:Solyc06g063370.3
mRNA:Solyc06g063380.1.1	19223	NA	gene:Solyc06g063380.1
mRNA:Solyc06g063390.3.1	19224	NA	gene:Solyc06g063390.3
mRNA:Solyc06g063400.3.1	19225	NA	gene:Solyc06g063400.3
mRNA:Solyc06g063410.3.1	19226	NA	gene:Solyc06g063410.3
mRNA:Solyc06g063420.3.1	19227	NA	gene:Solyc06g063420.3
mRNA:Solyc06g063430.2.1	19228	NA	gene:Solyc06g063430.2
mRNA:Solyc06g064430.1.1	19229	NA	gene:Solyc06g064430.1
mRNA:Solyc06g064440.3.1	19230	NA	gene:Solyc06g064440.3
mRNA:Solyc06g064445.1.1	19231	NA	gene:Solyc06g064445.1
mRNA:Solyc06g064450.3.1	19232	NA	gene:Solyc06g064450.3
mRNA:Solyc06g064460.3.1	19233	NA	gene:Solyc06g064460.3
mRNA:Solyc06g064470.3.1	19234	NA	gene:Solyc06g064470.3
mRNA:Solyc06g064480.3.1	19235	NA	gene:Solyc06g064480.3
mRNA:Solyc06g064500.2.1	19236	NA	gene:Solyc06g064500.2
mRNA:Solyc06g064510.2.1	19237	NA	gene:Solyc06g064510.2
mRNA:Solyc06g064520.3.1	19238	NA	gene:Solyc06g064520.3
mRNA:Solyc06g064525.1.1	19239	NA	gene:Solyc06g064525.1
mRNA:Solyc06g064530.1.1	19240	NA	gene:Solyc06g064530.1
mRNA:Solyc06g064540.2.1	19241	NA	gene:Solyc06g064540.2
